Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/management.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/management.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/management.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/ftpservers,GET,com.nokia.eda.management.v1alpha1.FTPServerList,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/grpcservers,GET,com.nokia.eda.management.v1alpha1.GRPCServerList,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/httpservers,GET,com.nokia.eda.management.v1alpha1.HTTPServerList,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers,DELETE,com.nokia.eda.management.v1alpha1.FTPServerList,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers,GET,com.nokia.eda.management.v1alpha1.FTPServerList,ftp_server_list,true,true,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers,POST,com.nokia.eda.management.v1alpha1.FTPServer,ftp_server,true,false,true
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/_deleted,GET,com.nokia.eda.management.v1alpha1.FTPServer_DeletedResources,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name},DELETE,Status,ftp_server,true,false,true
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name},GET,com.nokia.eda.management.v1alpha1.FTPServer,ftp_server,true,true,true
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name},PATCH,Patch,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name},PUT,com.nokia.eda.management.v1alpha1.FTPServer,ftp_server,true,false,true
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/management.eda.nokia.com/v1alpha1/namespaces/{namespace}/ftpservers/{name}/_topology,GET,ResourceTopology,,false,false,false
